"ID"	"R_G"	"LOD"
"NC_000936.1_S3"	"0.597250970377307"	"0"
"NC_010429.1_S4"	"0.677912158056439"	"1"
"NC_025708.1_S1"	"0.677301727932293"	"1"
"NC_027637.1_S2"	"0.599180735951403"	"0"
"NC_039057.1_S1"	"0.663087618761519"	"0"
"S1081_ML_002_A"	"0.713037221695111"	"0"
"S1082_ML_003_A"	"0.708034704694918"	"0"
"S1083_ML_004_A"	"0.737709898100844"	"0"
"S1084_ML_005_A"	"0.695011660823714"	"1"
"S1085_ML_006_A"	"0.724713200444445"	"0"
"S1086_ML_007_A"	"0.700581970847209"	"0"
"S1087_MG_001_A"	"0.674163767016943"	"0"
"S1088_MG_002_A"	"0.729052766192044"	"1"
"S1089_MG_003_A"	"0.748253528534552"	"1"
"S1090_MG_004_A"	"0.55694455182077"	"0"
"S1091_MG_005_A"	"0.733333870063747"	"1"
"S1092_MG_006_A"	"0.691361250377515"	"0"
"S1093_MG_007_A"	"0.683799195172786"	"0"
"S1094_MG_008_A"	"0.74029001369674"	"1"
"S1095_MG_009_A"	"0.688851466591185"	"0"
"S1096_MG_010_A"	"0.749828527763834"	"1"
"S1097_MG_011_A"	"0.737756277776751"	"1"
"S1098_MG_012_A"	"0.658100042135756"	"0"
"S1099_MG_013_A"	"0.556161968858241"	"0"
"S1100_MG_014_A"	"0.565810983458308"	"0"
"S1101_MG_015_A"	"0.749171314700837"	"1"
"S1102_MG_016_A"	"0.69195854402139"	"0"
"S1103_MG_017_A"	"0.72243107265233"	"1"
"S1104_MG_018_A"	"0.643787181508174"	"0"
"S1105_MG_019_A"	"0.658927282623615"	"0"
"S1106_MG_020_A"	"0.702495138407963"	"0"
"S1107_MG_021_A"	"0.670859093116498"	"0"
"S1108_MG_022_A"	"0.72554503137731"	"1"
"S1109_MG_023_A"	"0.627149310575193"	"0"
"S1110_MG_024_A"	"0.67724890711517"	"0"
"S1111_MG_025_A"	"0.645304462825229"	"0"
"S1112_MG_026_A"	"0.65452598496709"	"0"
"S1113_MG_027_A"	"0.680405918184944"	"0"
"S1114_MG_028_A"	"0.605875454104217"	"0"
"S1115_MG_029_A"	"0.722313971973588"	"1"
"S1116_MG_030_A"	"0.729809402570036"	"1"
"S1117_MG_031_A"	"0.650709191072615"	"0"
"S1118_MG_032_A"	"0.762553058411752"	"1"
"S1119_MG_033_A"	"0.674419707487271"	"0"
"S1120_MG_034_A"	"0.518227251821583"	"0"
"S1121_MG_035_A"	"0.697137222250929"	"0"
"S1122_MG_036_A"	"0.67244401847811"	"0"
"S1123_MG_037_A"	"0.643871460050563"	"0"
"S1124_MG_038_A"	"0.685528678887599"	"0"
"S1125_MG_039_A"	"0.686963064010146"	"1"
"S1126_MG_040_A"	"0.675532297685291"	"1"
"S1127_MG_041_A"	"0.616537716667282"	"0"
"S1128_MG_042_A"	"0.704973276833726"	"0"
"S1129_MG_043_A"	"0.699747270671353"	"0"
"S1130_MG_044_A"	"0.723999502436265"	"1"
"S1131_MG_045_A"	"0.743736533001114"	"1"
"S1132_MG_046_A"	"0.695249808808947"	"0"
"S1133_MG_047_A"	"0.664260069027281"	"1"
"S1134_MG_048_A"	"0.696078944722868"	"0"
"S1138_MG_049_A"	"0.454591101816765"	"0"
"S1139_MG_050_A"	"0.651849361178434"	"0"
"S1140_MG_051_A"	"0.694737483028326"	"0"
"S1141_MG_052_A"	"0.663094835791057"	"0"
"S1142_MG_053_A"	"0.659548846637642"	"0"
"S1143_MG_054_A"	"0.736756103490061"	"1"
"S1144_MG_055_A"	"0.63802246049704"	"0"
"S1145_MG_056_A"	"0.556099216024201"	"0"
"S1146_MG_057_A"	"0.627132761983202"	"0"
"S1147_MG_058_A"	"0.701205814365012"	"1"
"S1148_MG_059_A"	"0.661847017491473"	"0"
"S1149_MG_060_A"	"0.492381485104096"	"0"
"S1150_MG_061_A"	"0.62200156697353"	"0"
"S1151_MG_062_A"	"0.678884661935844"	"0"
"S1152_MG_063_A"	"0.670627053881307"	"0"
"S1153_MG_064_A"	"0.646679774067517"	"0"
"S1154_MG_065_A"	"0.630623678949588"	"0"
"S1155_MG_066_A"	"0.686568939151327"	"1"
"S1156_MG_067_A"	"0.572095897963274"	"0"
"S1157_MG_068_A"	"0.608589213666994"	"0"
"S1158_MG_069_A"	"0.647550929108271"	"0"
"S1159_MG_070_A"	"0.692750908077756"	"1"
"S1160_MG_071_A"	"0.708660162483778"	"1"
"S1161_MG_072_A"	"0.680088860694855"	"1"
"S1162_MG_073_A"	"0.753027581520077"	"1"
"S1163_MG_074_A"	"0.590219038956539"	"0"
"S1164_MG_075_A"	"0.624699157027535"	"0"
"S1165_MG_076_A"	"0.68141417711099"	"0"
"S1166_MG_077_A"	"0.727401077514312"	"1"
"S1167_MG_078_A"	"0.684058161580962"	"0"
"S1168_MG_079_A"	"0.651010105170909"	"0"
