"ID"	"example_1"	"example_2"
"S1080_ML_001_A"	11100	35200
"S1081_ML_002_A"	22100	70400
"S1082_ML_003_A"	88500	282000
"S1083_ML_004_A"	44300	141000
"S1091_MG_005_A"	11100	35200
"S1084_ML_005_A"	708000	2260000
"S1092_MG_006_A"	45300000	1.44e+08
"S1093_MG_007_A"	1420000	4510000
"S1094_MG_008_A"	5660000	1.8e+07
"S1095_MG_009_A"	11300000	36100000
"S1096_MG_010_A"	22600000	72200000
"S1097_MG_011_A"	1400	4480
"S1098_MG_012_A"	708000	2260000
"S1099_MG_013_A"	1420000	4510000
"S1100_MG_014_A"	45300000	1.44e+08
"S1101_MG_015_A"	354000	1130000
"S1102_MG_016_A"	11300000	36100000
"S1103_MG_017_A"	2760	8810
"S1104_MG_018_A"	44300	141000
"S1105_MG_019_A"	22600000	72200000
"S1106_MG_020_A"	354000	1130000
"S1107_MG_021_A"	5660000	1.8e+07
"S1108_MG_022_A"	1420000	4510000
"S1109_MG_023_A"	2830000	9020000
"S1110_MG_024_A"	177000	564000
"S1111_MG_025_A"	22600000	72200000
"S1085_ML_006_A"	177000	564000
"S1086_ML_007_A"	5530	17600
"S1112_MG_026_A"	44300	141000
"S1113_MG_027_A"	177000	564000
"S1114_MG_028_A"	708000	2260000
"S1138_MG_049_A"	5530	17600
"S1139_MG_050_A"	354000	1130000
"S1140_MG_051_A"	1420000	4510000
"S1141_MG_052_A"	11300000	36100000
"S1142_MG_053_A"	2760	8810
"S1143_MG_054_A"	11100	35200
"S1144_MG_055_A"	354000	1130000
"S1145_MG_056_A"	708000	2260000
"S1146_MG_057_A"	88500	282000
"S1147_MG_058_A"	2830000	9020000
"S1148_MG_059_A"	177000	564000
"S1149_MG_060_A"	5660000	1.8e+07
"S1150_MG_061_A"	44300	141000
"S1151_MG_062_A"	177000	564000
"S1152_MG_063_A"	5660000	1.8e+07
"S1153_MG_064_A"	11100	35200
"S1154_MG_065_A"	2760	8810
"S1155_MG_066_A"	45300000	1.44e+08
"S1115_MG_029_A"	708000	2260000
"S1116_MG_030_A"	5660000	1.8e+07
"S1117_MG_031_A"	1400	4480
"S1118_MG_032_A"	22100	70400
"S1119_MG_033_A"	11100	35200
"S1120_MG_034_A"	88500	282000
"S1121_MG_035_A"	2830000	9020000
"S1122_MG_036_A"	45300000	1.44e+08
"S1123_MG_037_A"	5530	17600
"S1124_MG_038_A"	5530	17600
"S1125_MG_039_A"	45300000	1.44e+08
"S1126_MG_040_A"	88500	282000
"S1127_MG_041_A"	22600000	72200000
"S1128_MG_042_A"	354000	1130000
"S1129_MG_043_A"	11300000	36100000
"S1130_MG_044_A"	1400	4480
"S1131_MG_045_A"	11300000	36100000
"S1132_MG_046_A"	2760	8810
"S1133_MG_047_A"	22100	70400
"S1134_MG_048_A"	2830000	9020000
"S1156_MG_067_A"	22100	70400
"S1157_MG_068_A"	5530	17600
"S1158_MG_069_A"	177000	564000
"S1159_MG_070_A"	1400	4480
"S1160_MG_071_A"	44300	141000
"S1161_MG_072_A"	1420000	4510000
"S1162_MG_073_A"	708000	2260000
"S1087_MG_001_A"	2760	8810
"S1163_MG_074_A"	22600000	72200000
"S1088_MG_002_A"	11300000	36100000
"S1089_MG_003_A"	2830000	9020000
"S1164_MG_075_A"	1400	4480
"S1165_MG_076_A"	22100	70400
"S1166_MG_077_A"	2830000	9020000
"S1167_MG_078_A"	354000	1130000
"S1168_MG_079_A"	88500	282000
"S1090_MG_004_A"	1420000	4510000
"NC_000936.1_S3"	5200000	10400000
"NC_027637.1_S2"	5200	10400
"NC_039057.1_S1"	520000	1040000
"NC_025708.1_S1"	5.2e+07	1.04e+08
"NC_010429.1_S4"	52000	104000
