"ID"	"R_G"	"C_o"	"R_FVE"	"B_G"	"gene_copies"
"NC_000936.1_S3"	"0.986880680933546"	"1"	"1"	"1133783"	"1133.783"
"NC_010429.1_S4"	"0.96424036106119"	"0.911"	"0.915710055925489"	"5270"	"5.27"
"NC_025708.1_S1"	"0.989726702378909"	"1"	"1"	"5079595"	"5079.595"
"NC_027637.1_S2"	"0.811692097612911"	"0.286"	"0.68639663736644"	"539"	"0.539"
"NC_039057.1_S1"	"0.990486389474403"	"0.997"	"0.997"	"41438"	"41.438"
"S1080_ML_001_A"	"0.968082030200978"	"0.916447120812947"	"0.932830358816675"	"21479"	"4.04196462175386"
"S1081_ML_002_A"	"0.961860120427"	"0.973948975925261"	"0.978334802005473"	"30098"	"5.40747394897592"
"S1082_ML_003_A"	"0.995569562460347"	"1"	"1"	"483262"	"68.4507082152975"
"S1083_ML_004_A"	"0.956386247963452"	"1"	"1.00000101065463"	"85977"	"13.8049132947977"
"S1084_ML_005_A"	"0.993343290288134"	"1"	"1"	"3297564"	"698.636440677966"
"S1085_ML_006_A"	"0.983627623130687"	"1"	"1"	"793446"	"86.9911193948032"
"S1086_ML_007_A"	"0.926844435512106"	"0.690022172949002"	"0.87924412671194"	"6928"	"1.53614190687361"
"S1087_MG_001_A"	"0.862959474185458"	"0.369484151646986"	"0.813941712697312"	"1947"	"0.605034182722188"
"S1088_MG_002_A"	"0.989466096553828"	"1"	"1"	"9705502"	"4593.23331755797"
"S1089_MG_003_A"	"0.992756642719262"	"1"	"1"	"3445631"	"904.127787982157"
"S1090_MG_004_A"	"0.994340544422555"	"1"	"1"	"2712700"	"1054.70451010886"
"S1091_MG_005_A"	"0.916927664993617"	"0.672772988505747"	"0.756128127971285"	"6139"	"2.20510057471264"
"S1092_MG_006_A"	"0.998306042042314"	"1"	"1"	"32382226"	"7680.79364326376"
"S1093_MG_007_A"	"0.991741639747421"	"1"	"1"	"5546614"	"1342.03097023954"
"S1094_MG_008_A"	"0.991463222023968"	"1"	"1"	"12485848"	"3142.67505663227"
"S1095_MG_009_A"	"0.996177355150539"	"1"	"1"	"17611008"	"4797.3326069191"
"S1096_MG_010_A"	"0.99682808376409"	"1"	"1"	"21392017"	"6647.6124922312"
"S1097_MG_011_A"	"0.935551642109544"	"0.7044384667115"	"1.02233260272001"	"3474"	"1.16812373907196"
"S1098_MG_012_A"	"0.983000648953232"	"1"	"1"	"945481"	"316.00300802139"
"S1099_MG_013_A"	"0.990288762527924"	"1"	"1"	"3493087"	"1176.12356902357"
"S1100_MG_014_A"	"0.998542657327013"	"1"	"1"	"22537432"	"7828.21535255297"
"S1101_MG_015_A"	"0.992808517190485"	"1"	"1"	"233588"	"82.0182584269663"
"S1102_MG_016_A"	"0.996561775906799"	"1"	"1"	"16797873"	"6232.97699443414"
"S1103_MG_017_A"	"0.923882306574815"	"0.591166477916195"	"1.07426664651391"	"2117"	"0.799169497923745"
"S1104_MG_018_A"	"0.988249564088707"	"1"	"1.00000000107635"	"53111"	"20.6496889580093"
"S1105_MG_019_A"	"0.992352591012888"	"1"	"1"	"10531248"	"4113.76875"
"S1106_MG_020_A"	"0.989865980964887"	"1"	"1"	"274035"	"115.431760741365"
"S1107_MG_021_A"	"0.991201525991171"	"1"	"1"	"7923426"	"3487.42341549296"
"S1108_MG_022_A"	"0.985975986379029"	"1"	"1"	"2319072"	"1027.50199379708"
"S1109_MG_023_A"	"0.990533192929095"	"1"	"1"	"6742754"	"3100.1167816092"
"S1110_MG_024_A"	"0.992698209949965"	"1"	"1"	"94511"	"43.4533333333333"
"S1111_MG_025_A"	"0.9989710750274"	"1"	"1"	"31949103"	"7741.48364429368"
"S1112_MG_026_A"	"0.985614391466523"	"0.999509563511525"	"0.999529412716216"	"22076"	"10.8268759195684"
"S1113_MG_027_A"	"0.982808498707246"	"1"	"1"	"115428"	"56.6378802747792"
"S1114_MG_028_A"	"0.978625106177498"	"1"	"1"	"180781"	"93.6689119170984"
"S1115_MG_029_A"	"0.992776077214697"	"1"	"1"	"1046609"	"351.211073825503"
"S1116_MG_030_A"	"0.992519845068127"	"1"	"1"	"7056188"	"2367.84832214765"
"S1117_MG_031_A"	"0.828340847197679"	"0.260402684563758"	"1.05577039037674"	"844"	"0.283221476510067"
"S1118_MG_032_A"	"0.971171014899002"	"0.946308724832215"	"0.946698054613929"	"23233"	"7.79630872483221"
"S1119_MG_033_A"	"0.957023074402942"	"0.968456375838926"	"0.978831170884831"	"13550"	"4.54697986577181"
"S1120_MG_034_A"	"0.992389973023978"	"0.999664429530201"	"0.999664429998359"	"64016"	"21.4818791946309"
"S1121_MG_035_A"	"0.986389715550956"	"1"	"1"	"4157706"	"1395.2033557047"
"S1122_MG_036_A"	"0.996289225026626"	"1"	"1"	"22631283"	"7594.39026845638"
"S1123_MG_037_A"	"0.965920651063569"	"0.851342281879195"	"1.00107110476215"	"5662"	"1.9"
"S1124_MG_038_A"	"0.989263895808114"	"1"	"1"	"192689"	"64.6607382550336"
"S1125_MG_039_A"	"0.997085683405331"	"1"	"1"	"22617564"	"7589.78657718121"
