"ID"	"Mass"	"MIX_A"	"MIX_B"	"MIX_C"	"ssDNA"	"length"
"NC_000936.1_S3"	5.13086666570688e-10	NA	NA	NA	0.0900009000090001	1000
"NC_010429.1_S4"	5.13086666570688e-10	NA	NA	NA	0.000900009000090001	1000
"NC_025708.1_S1"	5.13086666570688e-10	NA	NA	NA	0.900009000090001	1000
"NC_027637.1_S2"	5.13086666570688e-10	NA	NA	NA	9.00009000090001e-05	1000
"NC_039057.1_S1"	5.13086666570688e-10	NA	NA	NA	0.00900009000090001	1000
"S1080_ML_001_A"	5.45197725280722e-09	2.35272700344347e-05	2.35272700344347e-05	0.0289592735021808	NA	5314
"S1081_ML_002_A"	5.71056622072725e-09	4.70545400688693e-05	2.98912037322736e-06	0.0289592735021808	NA	5566
"S1082_ML_003_A"	7.24362938768171e-09	0.000188314583513323	9.42055033755847e-05	0.0289592735021808	NA	7060
"S1083_ML_004_A"	6.38987533486638e-09	9.42055033755847e-05	0.00075335475729114	0.0289592735021808	NA	6228
"S1084_ML_005_A"	4.84244611413858e-09	0.00150661309134443	0.00150661309134443	0.0289592735021808	NA	4720
"S1085_ML_006_A"	9.35851773245624e-09	0.000376629167026647	4.70545400688693e-05	0.0289592735021808	NA	9121
"S1086_ML_007_A"	4.62695530753855e-09	1.17636350172173e-05	1.17636350172173e-05	0.0289592735021808	NA	4510
"S1087_MG_001_A"	3.30117377359935e-09	5.88181750860867e-06	4.70545400688693e-05	NA	NA	3218
"S1088_MG_002_A"	2.16728167220398e-09	0.0241058094615109	0.00150661309134443	NA	NA	2113
"S1089_MG_003_A"	3.9096787655699e-09	0.00602645236537773	0.000376629167026647	NA	NA	3811
"S1090_MG_004_A"	2.63828300662975e-09	0.00301322618268887	0.00301322618268887	NA	NA	2572
"S1091_MG_005_A"	2.85582610662597e-09	2.35272700344347e-05	2.35272700344347e-05	0.0289592735021808	NA	2784
"S1092_MG_006_A"	4.32526817829852e-09	0.0964232378460437	0.0964232378460437	0.000226258803872538	NA	4216
"S1093_MG_007_A"	4.2400980023566e-09	0.00301322618268887	0.0964232378460437	0.000452488648471574	NA	4133
"S1094_MG_008_A"	4.07591453066135e-09	0.0120529047307555	0.0120529047307555	0.0018099545938863	NA	3973
"S1095_MG_009_A"	3.76601822783655e-09	0.0241058094615109	0.00075335475729114	0.00723981837554519	NA	3671
"S1096_MG_010_A"	3.30117377359935e-09	0.0482116189230219	0.0482116189230219	0.0144796367510904	NA	3218
"S1097_MG_011_A"	3.05079397926409e-09	2.98912037322736e-06	2.98912037322736e-06	0.0018099545938863	NA	2974
"S1098_MG_012_A"	3.0692646198298e-09	0.00150661309134443	0.0241058094615109	0.0144796367510904	NA	2992
"S1099_MG_013_A"	3.0466893924717e-09	0.00301322618268887	0.00602645236537773	0.0036199091877726	NA	2970
"S1100_MG_014_A"	2.95331004294503e-09	0.0964232378460437	0.0482116189230219	0.00723981837554519	NA	2879
"S1101_MG_015_A"	2.92149949530407e-09	0.00075335475729114	0.000376629167026647	0.0144796367510904	NA	2848
"S1102_MG_016_A"	2.76449905049548e-09	0.0241058094615109	0.00602645236537773	0.0036199091877726	NA	2695
"S1103_MG_017_A"	2.71729630238309e-09	5.88181750860867e-06	5.88181750860867e-06	0.00723981837554519	NA	2649
"S1104_MG_018_A"	2.63828300662975e-09	9.42055033755847e-05	2.98912037322736e-06	0.000452488648471574	NA	2572
"S1105_MG_019_A"	2.62596924625261e-09	0.0482116189230219	0.0482116189230219	0.0018099545938863	NA	2560
"S1106_MG_020_A"	2.43510596040687e-09	0.00075335475729114	0.0241058094615109	0.0036199091877726	NA	2374
"S1107_MG_021_A"	2.33043899720115e-09	0.0120529047307555	0.0241058094615109	0.00723981837554519	NA	2272
"S1108_MG_022_A"	2.31504679672971e-09	0.00301322618268887	0.00301322618268887	0.0144796367510904	NA	2257
"S1109_MG_023_A"	2.2309027674859e-09	0.00602645236537773	0.0482116189230219	0.000226258803872538	NA	2175
"S1110_MG_024_A"	2.2309027674859e-09	0.000376629167026647	0.00602645236537773	0.0289592735021808	NA	2175
"S1111_MG_025_A"	4.23394112216803e-09	0.0482116189230219	0.0120529047307555	0.000904977296943149	NA	4127
"S1112_MG_026_A"	2.09134681654493e-09	9.42055033755847e-05	9.42055033755847e-05	0.000904977296943149	NA	2039
"S1113_MG_027_A"	2.09032066984683e-09	0.000376629167026647	0.000376629167026647	0.0018099545938863	NA	2038
"S1114_MG_028_A"	1.97949682645253e-09	0.00150661309134443	0.0120529047307555	0.000226258803872538	NA	1930
"S1115_MG_029_A"	3.05695085945266e-09	0.00150661309134443	9.42055033755847e-05	0.000904977296943149	NA	2980
"S1116_MG_030_A"	3.05695085945266e-09	0.0120529047307555	0.00150661309134443	0.000452488648471574	NA	2980
"S1117_MG_031_A"	3.05695085945266e-09	2.98912037322736e-06	1.17636350172173e-05	0.000226258803872538	NA	2980
"S1118_MG_032_A"	3.05695085945266e-09	4.70545400688693e-05	0.00150661309134443	0.0289592735021808	NA	2980
"S1119_MG_033_A"	3.05695085945266e-09	2.35272700344347e-05	2.35272700344347e-05	0.0144796367510904	NA	2980
"S1120_MG_034_A"	3.05695085945266e-09	0.000188314583513323	4.70545400688693e-05	0.00723981837554519	NA	2980
"S1121_MG_035_A"	3.05695085945266e-09	0.00602645236537773	0.00602645236537773	0.0036199091877726	NA	2980
"S1122_MG_036_A"	3.05695085945266e-09	0.0964232378460437	0.0964232378460437	0.0018099545938863	NA	2980
"S1123_MG_037_A"	3.05695085945266e-09	1.17636350172173e-05	0.000376629167026647	0.000904977296943149	NA	2980
"S1124_MG_038_A"	3.05695085945266e-09	1.17636350172173e-05	2.98912037322736e-06	0.000452488648471574	NA	2980
"S1125_MG_039_A"	3.05695085945266e-09	0.0964232378460437	0.0120529047307555	0.000226258803872538	NA	2980
"S1126_MG_040_A"	3.05695085945266e-09	0.000188314583513323	0.000188314583513323	0.0289592735021808	NA	2980
"S1127_MG_041_A"	3.05695085945266e-09	0.0482116189230219	0.00301322618268887	0.0144796367510904	NA	2980
"S1128_MG_042_A"	3.05695085945266e-09	0.00075335475729114	0.00075335475729114	0.00723981837554519	NA	2980
"S1129_MG_043_A"	3.05695085945266e-09	0.0241058094615109	0.0241058094615109	0.0036199091877726	NA	2980
"S1130_MG_044_A"	3.05695085945266e-09	2.98912037322736e-06	2.98912037322736e-06	0.0018099545938863	NA	2980
"S1131_MG_045_A"	3.05695085945266e-09	0.0241058094615109	0.0964232378460437	0.000904977296943149	NA	2980
"S1132_MG_046_A"	3.05695085945266e-09	5.88181750860867e-06	1.17636350172173e-05	0.000452488648471574	NA	2980
"S1133_MG_047_A"	3.05695085945266e-09	4.70545400688693e-05	4.70545400688693e-05	0.000226258803872538	NA	2980
"S1134_MG_048_A"	3.05695085945266e-09	0.00602645236537773	0.000188314583513323	0.0289592735021808	NA	2980
"S1138_MG_049_A"	1.8974050906049e-09	1.17636350172173e-05	1.17636350172173e-05	NA	NA	1850
"S1139_MG_050_A"	1.88509133022776e-09	0.00075335475729114	2.35272700344347e-05	NA	NA	1838
"S1140_MG_051_A"	1.87072527645443e-09	0.00301322618268887	0.00602645236537773	NA	NA	1824
"S1141_MG_052_A"	1.82660096843632e-09	0.0241058094615109	0.0241058094615109	NA	NA	1781
"S1142_MG_053_A"	1.73835235240012e-09	5.88181750860867e-06	2.35272700344347e-05	NA	NA	1695
"S1143_MG_054_A"	1.72398629862679e-09	2.35272700344347e-05	5.88181750860867e-06	NA	NA	1681
"S1144_MG_055_A"	1.71064639155155e-09	0.00075335475729114	0.00075335475729114	NA	NA	1668
"S1145_MG_056_A"	1.70346336466488e-09	0.00150661309134443	0.00150661309134443	NA	NA	1661
"S1146_MG_057_A"	1.68704501749536e-09	0.000188314583513323	0.000188314583513323	NA	NA	1645
"S1147_MG_058_A"	1.63163309579821e-09	0.00602645236537773	0.00602645236537773	NA	NA	1591
"S1148_MG_059_A"	1.59777025476106e-09	0.000376629167026647	0.000376629167026647	NA	NA	1558
"S1149_MG_060_A"	1.55467209344106e-09	0.0120529047307555	0.0120529047307555	NA	NA	1516
"S1150_MG_061_A"	1.55467209344106e-09	9.42055033755847e-05	9.42055033755847e-05	NA	NA	1516
"S1151_MG_062_A"	1.52491383919629e-09	0.000376629167026647	0.000376629167026647	NA	NA	1487
"S1152_MG_063_A"	1.16678864156101e-09	0.0120529047307555	0.0482116189230219	NA	NA	1138
"S1153_MG_064_A"	1.02518039722385e-09	2.35272700344347e-05	1.17636350172173e-05	NA	NA	1000
"S1154_MG_065_A"	1.02518039722385e-09	5.88181750860867e-06	5.88181750860867e-06	NA	NA	1000
"S1155_MG_066_A"	1.00670975665813e-09	0.0964232378460437	0.00301322618268887	NA	NA	982
"S1156_MG_067_A"	1.02518039722385e-09	4.70545400688693e-05	4.70545400688693e-05	NA	NA	1000
"S1157_MG_068_A"	1.02518039722385e-09	1.17636350172173e-05	0.000188314583513323	NA	NA	1000
"S1158_MG_069_A"	1.01286663684671e-09	0.000376629167026647	0.00301322618268887	NA	NA	988
"S1159_MG_070_A"	1.02518039722385e-09	2.98912037322736e-06	5.88181750860867e-06	NA	NA	1000
"S1160_MG_071_A"	1.02518039722385e-09	9.42055033755847e-05	0.00150661309134443	NA	NA	1000
"S1161_MG_072_A"	1.02210195712957e-09	0.00301322618268887	0.00301322618268887	NA	NA	997
"S1162_MG_073_A"	1.02518039722385e-09	0.00150661309134443	0.000188314583513323	NA	NA	1000
"S1163_MG_074_A"	1.68704501749536e-09	0.0482116189230219	0.0241058094615109	NA	NA	1645
"S1164_MG_075_A"	1.86456839626585e-09	2.98912037322736e-06	9.42055033755847e-05	NA	NA	1818
"S1165_MG_076_A"	1.87072527645443e-09	4.70545400688693e-05	5.88181750860867e-06	NA	NA	1824
"S1166_MG_077_A"	1.16678864156101e-09	0.00602645236537773	0.0964232378460437	NA	NA	1138
"S1167_MG_078_A"	1.73835235240012e-09	0.00075335475729114	0.00075335475729114	NA	NA	1695
"S1168_MG_079_A"	1.97949682645253e-09	0.000188314583513323	0.00075335475729114	NA	NA	1930
