"ID"	"R_G"	"LOD"
"AC_000002.1"	"0.229526300978302"	"0"
"AC_000006.1"	"0.596058724208367"	"0"
"AC_000007.1"	"0.65010441437999"	"0"
"AC_000011.1"	"0.263915616611581"	"0"
"AC_000012.1"	"0.325659303075984"	"0"
"AC_000014.1"	"0.259423981538844"	"0"
"AC_000017.1"	"0.520796351846321"	"0"
"AC_000020.1"	"0.267828421103328"	"0"
"AC_000189.1"	"0.325882683215544"	"0"
"AC_000190.1"	"0.296664208237886"	"0"
"NC_000852.5"	"0.350495966507005"	"0"
"NC_000866.4"	"0.509284509215064"	"0"
"NC_000871.1"	"0.716530249059814"	"0"
"NC_000872.1"	"0.645252523241907"	"0"
"NC_000896.1"	"0.686733943284511"	"0"
"NC_000898.1"	"0.275939201816085"	"0"
"NC_000902.1"	"0.495915007582864"	"0"
"NC_000924.1"	"0.513468409837707"	"0"
"NC_000929.1"	"0.587962597241656"	"0"
"NC_000935.1"	"0.219174319161658"	"0"
"NC_000960.1"	"0.314511485900554"	"0"
"NC_001132.2"	"0.268374971272889"	"0"
"NC_001266.1"	"0.200124209609519"	"0"
"NC_001271.1"	"0.910368481254751"	"1"
"NC_001317.1"	"0.892910507912275"	"1"
"NC_001330.1"	"0.686734916344242"	"0"
"NC_001335.1"	"0.255192520745783"	"0"
"NC_001348.1"	"0.346007189346259"	"0"
"NC_001350.1"	"0.305586050071376"	"0"
"NC_001405.1"	"0.524840996256214"	"0"
"NC_001416.1"	"0.703312007238714"	"0"
"NC_001421.2"	"0.971469967237301"	"1"
"NC_001422.1"	"0.455333349428935"	"0"
"NC_001442.1"	"0.3279354104918"	"0"
"NC_001449.1"	"0.352676187907712"	"0"
"NC_001451.1"	"0.306878630032538"	"0"
"NC_001454.1"	"0.522929259505021"	"0"
"NC_001457.1"	"0.800298256758596"	"1"
"NC_001458.1"	"0.762968165400711"	"1"
"NC_001460.1"	"0.229732184603238"	"0"
"NC_001474.2"	"0.258389815114718"	"0"
"NC_001479.1"	"0.505074604850439"	"0"
"NC_001491.2"	"0.279550107008795"	"0"
"NC_001493.2"	"0.384787579825625"	"0"
"NC_001499.1"	"0.319360478212073"	"0"
"NC_001501.1"	"0.624968483045664"	"0"
"NC_001504.1"	"0.275480511273999"	"0"
"NC_001512.1"	"0.302086445280809"	"0"
"NC_001514.1"	"0.282458492074221"	"0"
"NC_001523.1"	"0.313655353024119"	"0"
