ID	Mass	Rel_Abund	length
S1080_ML_001_A	5.45E-09	2.35E-05	5314
S1081_ML_002_A	5.71E-09	4.71E-05	5566
S1082_ML_003_A	7.24E-09	0.000188315	7060
S1083_ML_004_A	6.39E-09	9.42E-05	6228
S1084_ML_005_A	4.84E-09	0.001506613	4720
S1085_ML_006_A	9.36E-09	0.000376629	9121
S1086_ML_007_A	4.63E-09	1.18E-05	4510
S1087_MG_001_A	3.30E-09	5.88E-06	3218
S1088_MG_002_A	2.17E-09	0.024105809	2113
S1089_MG_003_A	3.91E-09	0.006026452	3811
S1090_MG_004_A	2.64E-09	0.003013226	2572
S1091_MG_005_A	2.86E-09	2.35E-05	2784
S1092_MG_006_A	4.33E-09	0.096423238	4216
S1093_MG_007_A	4.24E-09	0.003013226	4133
S1094_MG_008_A	4.08E-09	0.012052905	3973
S1095_MG_009_A	3.77E-09	0.024105809	3671
S1096_MG_010_A	3.30E-09	0.048211619	3218
S1097_MG_011_A	3.05E-09	2.99E-06	2974
S1098_MG_012_A	3.07E-09	0.001506613	2992
S1099_MG_013_A	3.05E-09	0.003013226	2970
S1100_MG_014_A	2.95E-09	0.096423238	2879
S1101_MG_015_A	2.92E-09	0.000753355	2848
S1102_MG_016_A	2.76E-09	0.024105809	2695
S1103_MG_017_A	2.72E-09	5.88E-06	2649
S1104_MG_018_A	2.64E-09	9.42E-05	2572
S1105_MG_019_A	2.63E-09	0.048211619	2560
S1106_MG_020_A	2.44E-09	0.000753355	2374
S1107_MG_021_A	2.33E-09	0.012052905	2272
S1108_MG_022_A	2.32E-09	0.003013226	2257
S1109_MG_023_A	2.23E-09	0.006026452	2175
S1110_MG_024_A	2.23E-09	0.000376629	2175
S1111_MG_025_A	4.23E-09	0.048211619	4127
S1112_MG_026_A	2.09E-09	9.42E-05	2039
S1113_MG_027_A	2.09E-09	0.000376629	2038
S1114_MG_028_A	1.98E-09	0.001506613	1930
S1115_MG_029_A	3.06E-09	0.001506613	2980
S1116_MG_030_A	3.06E-09	0.012052905	2980
S1117_MG_031_A	3.06E-09	2.99E-06	2980
S1118_MG_032_A	3.06E-09	4.71E-05	2980
S1119_MG_033_A	3.06E-09	2.35E-05	2980
S1120_MG_034_A	3.06E-09	0.000188315	2980
S1121_MG_035_A	3.06E-09	0.006026452	2980
S1122_MG_036_A	3.06E-09	0.096423238	2980
S1123_MG_037_A	3.06E-09	1.18E-05	2980
S1124_MG_038_A	3.06E-09	1.18E-05	2980
S1125_MG_039_A	3.06E-09	0.096423238	2980
S1126_MG_040_A	3.06E-09	0.000188315	2980
S1127_MG_041_A	3.06E-09	0.048211619	2980
S1128_MG_042_A	3.06E-09	0.000753355	2980
S1129_MG_043_A	3.06E-09	0.024105809	2980
S1130_MG_044_A	3.06E-09	2.99E-06	2980
S1131_MG_045_A	3.06E-09	0.024105809	2980
S1132_MG_046_A	3.06E-09	5.88E-06	2980
S1133_MG_047_A	3.06E-09	4.71E-05	2980
S1134_MG_048_A	3.06E-09	0.006026452	2980
S1138_MG_049_A	1.90E-09	1.18E-05	1850
S1139_MG_050_A	1.89E-09	0.000753355	1838
S1140_MG_051_A	1.87E-09	0.003013226	1824
S1141_MG_052_A	1.83E-09	0.024105809	1781
S1142_MG_053_A	1.74E-09	5.88E-06	1695
S1143_MG_054_A	1.72E-09	2.35E-05	1681
S1144_MG_055_A	1.71E-09	0.000753355	1668
S1145_MG_056_A	1.70E-09	0.001506613	1661
S1146_MG_057_A	1.69E-09	0.000188315	1645
S1147_MG_058_A	1.63E-09	0.006026452	1591
S1148_MG_059_A	1.60E-09	0.000376629	1558
S1149_MG_060_A	1.55E-09	0.012052905	1516
S1150_MG_061_A	1.55E-09	9.42E-05	1516
S1151_MG_062_A	1.52E-09	0.000376629	1487
S1152_MG_063_A	1.17E-09	0.012052905	1138
S1153_MG_064_A	1.03E-09	2.35E-05	1000
S1154_MG_065_A	1.03E-09	5.88E-06	1000
S1155_MG_066_A	1.01E-09	0.096423238	982
S1156_MG_067_A	1.03E-09	4.71E-05	1000
S1157_MG_068_A	1.03E-09	1.18E-05	1000
S1158_MG_069_A	1.01E-09	0.000376629	988
S1159_MG_070_A	1.03E-09	2.99E-06	1000
S1160_MG_071_A	1.03E-09	9.42E-05	1000
S1161_MG_072_A	1.02E-09	0.003013226	997
S1162_MG_073_A	1.03E-09	0.001506613	1000
S1163_MG_074_A	1.69E-09	0.048211619	1645
S1164_MG_075_A	1.86E-09	2.99E-06	1818
S1165_MG_076_A	1.87E-09	4.71E-05	1824
S1166_MG_077_A	1.17E-09	0.006026452	1138
S1167_MG_078_A	1.74E-09	0.000753355	1695
S1168_MG_079_A	1.98E-09	0.000188315	1930
