"ID"	"R_G"	"C_o"	"R_FVE"	"B_G"	"gene_copies"
"AC_000002.1"	"0.229526300978302"	"0.000319340416884399"	"1.00015967870679"	"11"	"0.000319340416884399"
"AC_000006.1"	"0.596058724208367"	"0.0145868945868946"	"1.00731117868838"	"512"	"0.0145868945868946"
"AC_000007.1"	"0.65010441437999"	"0.0268525475137045"	"0.822385721144253"	"1193"	"0.0331969836102068"
"AC_000011.1"	"0.263915616611581"	"0.000438128097702566"	"1.0002190800452"	"16"	"0.000438128097702566"
"AC_000012.1"	"0.325659303075984"	"0.00093717683557394"	"1.00046866160951"	"29"	"0.00093717683557394"
"AC_000014.1"	"0.259423981538844"	"0.000365263446260615"	"1.00018264284128"	"16"	"0.000365263446260615"
"AC_000017.1"	"0.520796351846321"	"0.00655537346184828"	"1.00328126780513"	"236"	"0.00655537346184828"
"AC_000020.1"	"0.267828421103328"	"0.00051080675541934"	"1.00025542512126"	"16"	"0.00051080675541934"
"AC_000189.1"	"0.325882683215544"	"0.000879920220566669"	"1.00044002463186"	"30"	"0.000879920220566669"
"AC_000190.1"	"0.296664208237886"	"0.000656696815020447"	"1.00032838434502"	"22"	"0.000656696815020447"
"NC_000852.5"	"0.350495966507005"	"0.000260124436271025"	"1.00013006785696"	"86"	"0.000260124436271025"
"NC_000866.4"	"0.509284509215064"	"0.0028833117232968"	"0.681610272185278"	"716"	"0.00423911949462117"
"NC_000871.1"	"0.716530249059814"	"0.0537597002943538"	"0.890873208107286"	"2326"	"0.0622424404602622"
"NC_000872.1"	"0.645252523241907"	"0.023245538673016"	"1.00121895321011"	"957"	"0.023491003706522"
"NC_000896.1"	"0.686733943284511"	"0.0395112481443417"	"0.689973015369481"	"2582"	"0.0589699668836359"
"NC_000898.1"	"0.275939201816085"	"0.000203560457455864"	"0.397692150359524"	"83"	"0.000511985392995053"
"NC_000902.1"	"0.495915007582864"	"0.00387253454103902"	"1.00193751698051"	"236"	"0.00387253454103902"
"NC_000924.1"	"0.513468409837707"	"0.00492946327225555"	"0.647903113161609"	"471"	"0.00763742500405384"
"NC_000929.1"	"0.587962597241656"	"0.013209140180298"	"0.513425318777171"	"957"	"0.0260642209330828"
"NC_000935.1"	"0.219174319161658"	"0.000273792574745373"	"1.00013690253437"	"10"	"0.000273792574745373"
"NC_000960.1"	"0.314511485900554"	"0.00183692213491173"	"1.0009187422577"	"18"	"0.00183692213491173"
"NC_001132.2"	"0.268374971272889"	"0.000154537530984775"	"1.00007727075552"	"25"	"0.000154537530984775"
"NC_001266.1"	"0.200124209609519"	"6.88115002783738e-05"	"1.00003440614507"	"11"	"6.88115002783738e-05"
"NC_001271.1"	"0.910368481254751"	"0.500429292929293"	"0.700816388918933"	"49579"	"1.25199494949495"
"NC_001317.1"	"0.892910507912275"	"0.395049634273772"	"0.713028441661311"	"24730"	"0.80753657262278"
"NC_001330.1"	"0.686734916344242"	"0.0678495153606046"	"0.911219968586605"	"471"	"0.0773780187284377"
"NC_001335.1"	"0.255192520745783"	"0.000305944891676387"	"1.0001529802462"	"16"	"0.000305944891676387"
"NC_001348.1"	"0.346007189346259"	"0.000464430991960539"	"1.00023223347071"	"58"	"0.000464430991960539"
"NC_001350.1"	"0.305586050071376"	"0.00030992650314354"	"1.000154971256"	"35"	"0.00030992650314354"
"NC_001405.1"	"0.524840996256214"	"0.0068453126304366"	"1.00342656117093"	"246"	"0.0068453126304366"
"NC_001416.1"	"0.703312007238714"	"0.0423900045358954"	"0.894402608438907"	"2355"	"0.0485546987753082"
"NC_001421.2"	"0.971469967237301"	"0.924633214979567"	"0.925360522138672"	"106707"	"7.1485898037114"
"NC_001422.1"	"0.455333349428935"	"0.00928332714444857"	"1.00464884524214"	"50"	"0.00928332714444857"
"NC_001442.1"	"0.3279354104918"	"0.00340642963593783"	"1.00170418179801"	"16"	"0.00340642963593783"
"NC_001449.1"	"0.352676187907712"	"0.00235931492485145"	"1.00118012132631"	"27"	"0.00235931492485145"
"NC_001451.1"	"0.306878630032538"	"0.00101419878296146"	"0.30485520711863"	"92"	"0.00333236742973051"
"NC_001454.1"	"0.522929259505021"	"0.00686853334892149"	"1.00343819806723"	"235"	"0.00686853334892149"
"NC_001457.1"	"0.800298256758596"	"0.174350605195158"	"0.997255069024622"	"1413"	"0.192166462668299"
"NC_001458.1"	"0.762968165400711"	"0.123026673924878"	"1.02248759032642"	"942"	"0.128198149156233"
"NC_001460.1"	"0.229732184603238"	"0.000322344322344322"	"1.00016118082001"	"11"	"0.000322344322344322"
"NC_001474.2"	"0.258389815114718"	"0.00102583232304392"	"1.00051300385585"	"11"	"0.00102583232304392"
"NC_001479.1"	"0.505074604850439"	"0.0142948308870453"	"0.0692668005200738"	"1811"	"0.231142310146777"
"NC_001491.2"	"0.279550107008795"	"0.000186388326765364"	"1.00009319705828"	"28"	"0.000186388326765364"
"NC_001493.2"	"0.384787579825625"	"0.000700311415076066"	"1.00035019657722"	"94"	"0.000700311415076066"
"NC_001499.1"	"0.319360478212073"	"0.00271462504241602"	"1.00135792662024"	"16"	"0.00271462504241602"
"NC_001501.1"	"0.624968483045664"	"0.0375660105616899"	"0.240671868905182"	"1414"	"0.169707153144503"
"NC_001504.1"	"0.275480511273999"	"0.0023441162681669"	"1.00117251604078"	"10"	"0.0023441162681669"
"NC_001512.1"	"0.302086445280809"	"0.00143641740599916"	"1.00071838064428"	"17"	"0.00143641740599916"
"NC_001514.1"	"0.282458492074221"	"0.00147979510529311"	"1.00074008003543"	"13"	"0.00147979510529311"
"NC_001523.1"	"0.313655353024119"	"0.0020300931454502"	"1.00101539001253"	"17"	"0.0020300931454502"
"NC_001538.1"	"0.97808579202194"	"0.979429458567825"	"0.985306668668071"	"26393"	"5.12187075490006"
"NC_001555.1"	"0.261824256105864"	"0.00115862650094797"	"1.00057942511838"	"11"	"0.00115862650094797"
"NC_001576.1"	"0.25649770614854"	"0.00126278570526582"	"1.00063152573823"	"10"	"0.00126278570526582"
"NC_001583.1"	"0.267356508466517"	"0.00140038192234246"	"1.00070035438363"	"11"	"0.00140038192234246"
"NC_001596.1"	"0.612485546234358"	"0.0316115146623621"	"1.01588902993257"	"235"	"0.0316115146623621"
"NC_001604.1"	"0.825853657088401"	"0.166512256804467"	"0.89786800463276"	"8192"	"0.205123068833413"
